listing_name,address,nickname,property_type,bedrooms,bathrooms,accommodates,active,month,airbnb_revenue,airbnb_bookings,airbnb_nights,vrbo_revenue,vrbo_bookings,vrbo_nights,booking_com_revenue,booking_com_bookings,booking_com_nights,direct_revenue,direct_bookings,direct_nights,other_revenue,other_bookings,other_nights,total_revenue,total_bookings,total_nights
ARL - BAL - 1617,"North Pollard Street 901, Arlington, Virginia 22203, United States",ARL - BAL - 1617,Apartment,2,2.0,6,True,2025-08,386.06,1,2,0.0,0,0,3840.43,2,19,0.0,0,0,596.89,1,3,4823.38,4,24
ARL - BAL - 1617,"North Pollard Street 901, Arlington, Virginia 22203, United States",ARL - BAL - 1617,Apartment,2,2.0,6,True,2025-09,961.72,1,2,1060.24,1,4,759.01,2,6,135.96,1,1,1463.98,3,7,4380.91,8,20
ARL - BAL - 1617,"North Pollard Street 901, Arlington, Virginia 22203, United States",ARL - BAL - 1617,Apartment,2,2.0,6,True,2025-10,4792.77,2,8,454.71,1,2,2754.17,2,13,0.0,0,0,0.0,0,0,8001.65,5,23
ARL - BAL - 1617,"North Pollard Street 901, Arlington, Virginia 22203, United States",ARL - BAL - 1617,Apartment,2,2.0,6,True,2025-11,2738.5,4,21,0.0,0,0,0.0,0,0,0.0,0,0,1032.64,1,5,3771.14,5,26
ARL - BAL - 1617,"North Pollard Street 901, Arlington, Virginia 22203, United States",ARL - BAL - 1617,Apartment,2,2.0,6,True,2025-12,0.0,0,0,9763.71,1,65,0.0,0,0,0.0,0,0,0.0,0,0,9763.71,1,65
ARL - BAL - 1617,"North Pollard Street 901, Arlington, Virginia 22203, United States",ARL - BAL - 1617,Apartment,2,2.0,6,True,2026-02,323.52,1,3,2810.55,1,19,0.0,0,0,159.94,1,1,0.0,0,0,3294.01,3,23
ARL - BAL - 1617,"North Pollard Street 901, Arlington, Virginia 22203, United States",ARL - BAL - 1617,Apartment,2,2.0,6,True,2026-03,0.0,0,0,0.0,0,0,2452.03,1,21,0.0,0,0,589.36,1,3,3041.39,2,24
ARL - BAL - 1617,"North Pollard Street 901, Arlington, Virginia 22203, United States",ARL - BAL - 1617,Apartment,2,2.0,6,True,2026-05,0.0,0,0,5006.96,2,12,0.0,0,0,0.0,0,0,0.0,0,0,5006.96,2,12
ARL - OAK 403- 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 403- 2/2,Apartment,2,2.0,6,True,2025-02,309.63,1,1,2900.69,2,16,0.0,0,0,0.0,0,0,0.0,0,0,3210.32,3,17
ARL - OAK 403- 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 403- 2/2,Apartment,2,2.0,6,True,2025-03,1552.03,1,5,4418.95,3,12,0.0,0,0,862.59,1,5,2249.72,3,9,9083.29,8,31
ARL - OAK 403- 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 403- 2/2,Apartment,2,2.0,6,True,2025-04,0.0,0,0,3048.19,2,9,591.29,1,3,2225.21,1,7,0.0,0,0,5864.69,4,19
ARL - OAK 403- 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 403- 2/2,Apartment,2,2.0,6,True,2025-05,4406.61,2,20,4002.06,2,7,0.0,0,0,0.0,0,0,1145.22,1,3,9553.89,5,30
ARL - OAK 403- 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 403- 2/2,Apartment,2,2.0,6,True,2025-06,532.53,1,2,0.0,0,0,5002.8,5,17,532.72,1,2,835.26,1,3,6903.31,8,24
ARL - OAK 403- 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 403- 2/2,Apartment,2,2.0,6,True,2025-07,0.0,0,0,2116.48,1,7,3856.41,1,14,0.0,0,0,1549.24,1,6,7522.13,3,27
ARL - OAK 403- 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 403- 2/2,Apartment,2,2.0,6,True,2025-08,459.78,1,2,758.62,1,3,1452.82,2,8,0.0,0,0,1087.58,1,5,3758.8,5,18
ARL - OAK 403- 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 403- 2/2,Apartment,2,2.0,6,True,2025-09,0.0,0,0,1191.63,1,5,1719.14,2,9,499.27,1,3,405.5,1,2,3815.54,5,19
ARL - OAK 403- 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 403- 2/2,Apartment,2,2.0,6,True,2025-10,786.99,2,5,1269.32,1,5,2386.99,2,7,0.0,0,0,0.0,0,0,4443.3,5,17
ARL - OAK 403- 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 403- 2/2,Apartment,2,2.0,6,True,2025-11,5225.48,4,33,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,5225.48,4,33
ARL - OAK 403- 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 403- 2/2,Apartment,2,2.0,6,True,2025-12,670.08,2,4,804.78,1,3,687.54,2,4,0.0,0,0,667.59,2,4,2829.99,7,15
ARL - OAK 403- 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 403- 2/2,Apartment,2,2.0,6,True,2026-01,1651.3,1,12,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1651.3,1,12
ARL - OAK 403- 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 403- 2/2,Apartment,2,2.0,6,True,2026-03,0.0,0,0,1546.94,1,5,856.8,1,5,0.0,0,0,0.0,0,0,2403.74,2,10
ARL - OAK 403- 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 403- 2/2,Apartment,2,2.0,6,True,2026-04,0.0,0,0,1017.97,1,3,0.0,0,0,0.0,0,0,0.0,0,0,1017.97,1,3
ARL - OAK 511- 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 511- 2/2,Apartment,2,2.0,6,True,2025-02,418.07,1,2,0.0,0,0,394.29,1,2,0.0,0,0,0.0,0,0,812.36,2,4
ARL - OAK 511- 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 511- 2/2,Apartment,2,2.0,6,True,2025-03,0.0,0,0,6234.62,2,21,0.0,0,0,0.0,0,0,980.4,1,5,7215.02,3,26
ARL - OAK 511- 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 511- 2/2,Apartment,2,2.0,6,True,2025-04,1566.31,2,4,4876.32,4,12,517.67,1,2,2088.12,1,5,0.0,0,0,9048.42,8,23
ARL - OAK 511- 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 511- 2/2,Apartment,2,2.0,6,True,2025-05,5746.38,1,21,5554.06,1,12,3269.74,2,11,0.0,0,0,0.0,0,0,14570.18,4,44
ARL - OAK 511- 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 511- 2/2,Apartment,2,2.0,6,True,2025-06,750.78,1,3,0.0,0,0,1575.75,1,5,0.0,0,0,0.0,0,0,2326.53,2,8
ARL - OAK 511- 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 511- 2/2,Apartment,2,2.0,6,True,2025-07,0.0,0,0,3146.21,2,10,3286.67,3,11,0.0,0,0,650.76,1,3,7083.64,6,24
ARL - OAK 511- 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 511- 2/2,Apartment,2,2.0,6,True,2025-08,903.07,2,4,2427.01,1,11,1797.66,2,8,0.0,0,0,0.0,0,0,5127.74,5,23
ARL - OAK 511- 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 511- 2/2,Apartment,2,2.0,6,True,2025-09,0.0,0,0,1504.67,1,7,3492.05,6,22,0.0,0,0,0.0,0,0,4996.72,7,29
ARL - OAK 511- 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 511- 2/2,Apartment,2,2.0,6,True,2025-10,0.0,0,0,0.0,0,0,4959.53,5,17,0.0,0,0,1434.37,2,7,6393.9,7,24
ARL - OAK 511- 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 511- 2/2,Apartment,2,2.0,6,True,2025-11,1551.61,1,7,1590.01,1,7,1504.8,1,7,0.0,0,0,0.0,0,0,4646.42,3,21
ARL - OAK 511- 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 511- 2/2,Apartment,2,2.0,6,True,2025-12,615.16,1,3,968.32,1,4,2254.63,4,9,0.0,0,0,407.23,1,4,4245.34,7,20
ARL - OAK 511- 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 511- 2/2,Apartment,2,2.0,6,True,2026-01,425.88,1,2,3478.22,3,23,0.0,0,0,0.0,0,0,0.0,0,0,3904.1,4,25
ARL - OAK 511- 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 511- 2/2,Apartment,2,2.0,6,True,2026-02,0.0,0,0,0.0,0,0,914.56,2,9,1569.76,1,11,0.0,0,0,2484.32,3,20
ARL - OAK 511- 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 511- 2/2,Apartment,2,2.0,6,True,2026-03,0.0,0,0,1056.81,1,4,1251.67,1,7,0.0,0,0,0.0,0,0,2308.48,2,11
ARL - OAK 511- 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 511- 2/2,Apartment,2,2.0,6,True,2026-04,0.0,0,0,2285.44,1,7,0.0,0,0,0.0,0,0,0.0,0,0,2285.44,1,7
ARL - OAK 611 - 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 611 - 2/2,Apartment,2,2.0,6,True,2025-02,0.0,0,0,0.0,0,0,766.52,1,4,0.0,0,0,0.0,0,0,766.52,1,4
ARL - OAK 611 - 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 611 - 2/2,Apartment,2,2.0,6,True,2025-03,375.39,1,2,2561.77,1,7,2838.81,3,9,0.0,0,0,545.24,1,2,6321.21,6,20
ARL - OAK 611 - 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 611 - 2/2,Apartment,2,2.0,6,True,2025-04,2322.17,1,6,1837.6,2,5,1521.08,3,6,0.0,0,0,1577.53,2,6,7258.38,8,23
ARL - OAK 611 - 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 611 - 2/2,Apartment,2,2.0,6,True,2025-05,842.93,1,5,15508.98,1,55,5324.88,4,14,0.0,0,0,652.98,1,3,22329.77,7,77
ARL - OAK 611 - 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 611 - 2/2,Apartment,2,2.0,6,True,2025-07,0.0,0,0,0.0,0,0,0.0,0,0,2201.23,1,5,481.6,1,2,2682.83,2,7
ARL - OAK 611 - 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 611 - 2/2,Apartment,2,2.0,6,True,2025-08,458.81,1,2,1236.49,1,4,1787.47,3,7,0.0,0,0,1977.55,2,10,5460.32,7,23
ARL - OAK 611 - 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 611 - 2/2,Apartment,2,2.0,6,True,2025-09,431.65,1,2,0.0,0,0,2925.93,3,16,0.0,0,0,881.6,2,5,4239.18,6,23
ARL - OAK 611 - 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 611 - 2/2,Apartment,2,2.0,6,True,2025-10,1270.92,1,10,5076.58,2,14,2452.29,2,6,523.27,1,3,0.0,0,0,9323.06,6,33
ARL - OAK 611 - 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 611 - 2/2,Apartment,2,2.0,6,True,2025-11,1940.28,3,15,0.0,0,0,0.0,0,0,0.0,0,0,966.63,1,5,2906.91,4,20
ARL - OAK 611 - 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 611 - 2/2,Apartment,2,2.0,6,True,2025-12,2856.94,4,20,687.78,1,5,962.41,2,5,0.0,0,0,0.0,0,0,4507.13,7,30
ARL - OAK 611 - 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 611 - 2/2,Apartment,2,2.0,6,True,2026-01,0.0,0,0,4644.89,1,36,0.0,0,0,0.0,0,0,0.0,0,0,4644.89,1,36
ARL - OAK 611 - 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 611 - 2/2,Apartment,2,2.0,6,True,2026-03,0.0,0,0,2991.52,1,11,0.0,0,0,0.0,0,0,0.0,0,0,2991.52,1,11
ARL - OAK 611 - 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 611 - 2/2,Apartment,2,2.0,6,True,2026-08,0.0,0,0,0.0,0,0,1632.96,1,8,0.0,0,0,0.0,0,0,1632.96,1,8
ARL - OAK 711- 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 711- 2/2,Apartment,2,2.0,6,True,2025-02,2431.25,3,13,791.75,1,4,0.0,0,0,0.0,0,0,0.0,0,0,3223.0,4,17
ARL - OAK 711- 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 711- 2/2,Apartment,2,2.0,6,True,2025-03,4414.23,4,15,1805.65,1,4,1212.12,2,5,0.0,0,0,0.0,0,0,7432.0,7,24
ARL - OAK 711- 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 711- 2/2,Apartment,2,2.0,6,True,2025-04,4590.88,3,14,0.0,0,0,2125.47,4,9,0.0,0,0,543.52,1,2,7259.87,8,25
ARL - OAK 711- 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 711- 2/2,Apartment,2,2.0,6,True,2025-05,0.0,0,0,18705.12,3,56,1184.6,2,5,0.0,0,0,0.0,0,0,19889.72,5,61
ARL - OAK 711- 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 711- 2/2,Apartment,2,2.0,6,True,2025-07,0.0,0,0,0.0,0,0,7212.53,3,22,0.0,0,0,0.0,0,0,7212.53,3,22
ARL - OAK 711- 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 711- 2/2,Apartment,2,2.0,6,True,2025-08,5998.67,1,30,0.0,0,0,0.0,0,0,277.63,1,1,0.0,0,0,6276.3,2,31
ARL - OAK 711- 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 711- 2/2,Apartment,2,2.0,6,True,2025-09,2712.6,1,7,1580.38,2,7,0.0,0,0,340.47,1,2,0.0,0,0,4633.45,4,16
ARL - OAK 711- 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 711- 2/2,Apartment,2,2.0,6,True,2025-10,1881.8,2,8,3412.65,2,9,1037.61,3,10,0.0,0,0,0.0,0,0,6332.06,7,27
ARL - OAK 711- 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 711- 2/2,Apartment,2,2.0,6,True,2025-11,1363.83,1,8,0.0,0,0,2895.82,3,15,0.0,0,0,0.0,0,0,4259.65,4,23
ARL - OAK 711- 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 711- 2/2,Apartment,2,2.0,6,True,2025-12,2459.29,2,17,0.0,0,0,1662.77,3,10,0.0,0,0,0.0,0,0,4122.06,5,27
ARL - OAK 711- 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 711- 2/2,Apartment,2,2.0,6,True,2026-01,2742.1,2,19,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,2742.1,2,19
ARL - OAK 711- 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 711- 2/2,Apartment,2,2.0,6,True,2026-02,3263.35,2,26,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,3263.35,2,26
ARL - OAK 711- 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 711- 2/2,Apartment,2,2.0,6,True,2026-03,0.0,0,0,3270.98,3,12,2887.97,1,8,992.6,1,4,0.0,0,0,7151.55,5,24
ARL - OAK 711- 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 711- 2/2,Apartment,2,2.0,6,True,2026-04,1669.85,1,8,1258.51,1,4,0.0,0,0,0.0,0,0,0.0,0,0,2928.36,2,12
ARL - PEN1 - 1019,"South Eads Street 1221, Arlington, Virginia 22202-4729, United States",ARL - PEN1 - 1019,Apartment,2,2.0,6,True,2025-02,0.0,0,0,0.0,0,0,0.0,0,0,5399.55,1,33,0.0,0,0,5399.55,1,33
ARL - PEN1 - 1019,"South Eads Street 1221, Arlington, Virginia 22202-4729, United States",ARL - PEN1 - 1019,Apartment,2,2.0,6,True,2025-03,0.0,0,0,0.0,0,0,2012.39,2,8,0.0,0,0,0.0,0,0,2012.39,2,8
ARL - PEN1 - 1019,"South Eads Street 1221, Arlington, Virginia 22202-4729, United States",ARL - PEN1 - 1019,Apartment,2,2.0,6,True,2025-04,1599.63,1,9,0.0,0,0,1961.09,2,11,0.0,0,0,1771.32,2,6,5332.04,5,26
ARL - PEN1 - 1019,"South Eads Street 1221, Arlington, Virginia 22202-4729, United States",ARL - PEN1 - 1019,Apartment,2,2.0,6,True,2025-05,730.41,1,3,0.0,0,0,5097.57,5,25,273.06,1,1,553.09,1,3,6654.13,8,32
ARL - PEN1 - 1019,"South Eads Street 1221, Arlington, Virginia 22202-4729, United States",ARL - PEN1 - 1019,Apartment,2,2.0,6,True,2025-06,0.0,0,0,0.0,0,0,8023.9,1,26,0.0,0,0,0.0,0,0,8023.9,1,26
ARL - PEN1 - 1019,"South Eads Street 1221, Arlington, Virginia 22202-4729, United States",ARL - PEN1 - 1019,Apartment,2,2.0,6,True,2025-07,4410.68,1,24,0.0,0,0,1745.88,2,9,0.0,0,0,547.01,1,3,6703.57,4,36
ARL - PEN1 - 1019,"South Eads Street 1221, Arlington, Virginia 22202-4729, United States",ARL - PEN1 - 1019,Apartment,2,2.0,6,True,2025-08,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,388.5,1,2,388.5,1,2
ARL - PEN1 - 1019,"South Eads Street 1221, Arlington, Virginia 22202-4729, United States",ARL - PEN1 - 1019,Apartment,2,2.0,6,True,2025-09,0.0,0,0,0.0,0,0,1330.62,3,10,0.0,0,0,0.0,0,0,1330.62,3,10
ARL - PEN1 - 1019,"South Eads Street 1221, Arlington, Virginia 22202-4729, United States",ARL - PEN1 - 1019,Apartment,2,2.0,6,True,2025-10,0.0,0,0,1438.41,1,5,2219.4,2,8,0.0,0,0,819.4,2,4,4477.21,5,17
ARL - PEN1 - 1019,"South Eads Street 1221, Arlington, Virginia 22202-4729, United States",ARL - PEN1 - 1019,Apartment,2,2.0,6,True,2025-11,1132.64,1,8,772.33,1,3,0.0,0,0,2036.28,1,14,0.0,0,0,3941.25,3,25
ARL - PEN1 - 1019,"South Eads Street 1221, Arlington, Virginia 22202-4729, United States",ARL - PEN1 - 1019,Apartment,2,2.0,6,True,2025-12,2611.54,4,21,0.0,0,0,0.0,0,0,0.0,0,0,1020.68,1,7,3632.22,5,28
ARL - PEN1 - 1019,"South Eads Street 1221, Arlington, Virginia 22202-4729, United States",ARL - PEN1 - 1019,Apartment,2,2.0,6,True,2026-01,0.0,0,0,0.0,0,0,0.0,0,0,542.69,1,4,2392.75,1,25,2935.44,2,29
ARL - PEN1 - 1019,"South Eads Street 1221, Arlington, Virginia 22202-4729, United States",ARL - PEN1 - 1019,Apartment,2,2.0,6,True,2026-02,1716.86,3,16,819.06,1,4,0.0,0,0,0.0,0,0,0.0,0,0,2535.92,4,20
ARL - PEN1 - 1117,"South Eads Street 1221, Arlington, Virginia 22202-4729, United States",ARL - PEN1 - 1117,Apartment,2,2.0,6,True,2025-02,453.39,1,2,1867.18,1,10,0.0,0,0,0.0,0,0,0.0,0,0,2320.57,2,12
ARL - PEN1 - 1117,"South Eads Street 1221, Arlington, Virginia 22202-4729, United States",ARL - PEN1 - 1117,Apartment,2,2.0,6,True,2025-03,0.0,0,0,7810.5,7,26,139.5,1,1,623.79,1,3,0.0,0,0,8573.79,9,30
ARL - PEN1 - 1117,"South Eads Street 1221, Arlington, Virginia 22202-4729, United States",ARL - PEN1 - 1117,Apartment,2,2.0,6,True,2025-04,1647.06,2,8,0.0,0,0,3774.44,3,16,0.0,0,0,0.0,0,0,5421.5,5,24
ARL - PEN1 - 1117,"South Eads Street 1221, Arlington, Virginia 22202-4729, United States",ARL - PEN1 - 1117,Apartment,2,2.0,6,True,2025-05,625.65,1,2,3877.81,2,10,3175.8,4,13,0.0,0,0,0.0,0,0,7679.26,7,25
ARL - PEN1 - 1117,"South Eads Street 1221, Arlington, Virginia 22202-4729, United States",ARL - PEN1 - 1117,Apartment,2,2.0,6,True,2025-06,767.27,1,3,4074.15,2,15,0.0,0,0,0.0,0,0,0.0,0,0,4841.42,3,18
ARL - PEN1 - 1117,"South Eads Street 1221, Arlington, Virginia 22202-4729, United States",ARL - PEN1 - 1117,Apartment,2,2.0,6,True,2025-07,1824.57,2,9,2213.13,1,7,659.58,1,4,0.0,0,0,1485.86,2,9,6183.14,6,29
ARL - PEN1 - 1117,"South Eads Street 1221, Arlington, Virginia 22202-4729, United States",ARL - PEN1 - 1117,Apartment,2,2.0,6,True,2025-08,437.47,1,2,0.0,0,0,4669.75,1,20,0.0,0,0,0.0,0,0,5107.22,2,22
ARL - PEN1 - 1117,"South Eads Street 1221, Arlington, Virginia 22202-4729, United States",ARL - PEN1 - 1117,Apartment,2,2.0,6,True,2025-09,921.31,1,7,4168.06,3,18,0.0,0,0,0.0,0,0,0.0,0,0,5089.37,4,25
